"Column type,Active phase,I"
"Capillary,DB-FFAP,1534"
"Capillary,FFAP,1549"
"Capillary,HP-Innowax,1526"
"Capillary,Innowax,1523"
"Capillary,CP-Wax 52CB,1536"
"Capillary,DB-Wax,1508"
"Capillary,Supelcowax-10,1487"
"Capillary,Stabilwax,1548"
"Capillary,DB-Wax,1540"
"Capillary,DB-Wax,1556"
"Capillary,DB-Wax,1498"
"Capillary,DB-Wax,1498"
"Capillary,ZB-Wax,1527"
"Capillary,DB-Wax,1550"
"Capillary,DB-Wax,1564"
"Capillary,DB-Wax,1528"
"Capillary,AT-Wax,1530"
"Capillary,DB-FFAP,1498"
"Capillary,DB-FFAP,1520"
"Capillary,Supelcowax-10,1555"
"Capillary,DB-FFAP,1547"
"Capillary,DB-Wax,1533"
"Capillary,DB-Wax,1535"
"Capillary,DB-Wax,1574"
"Capillary,FFAP,1554"
"Capillary,DB-Wax,1533"
"Capillary,DB-Wax,1535"
"Capillary,DB-Wax,1536"
"Capillary,DB-Wax,1535"
"Capillary,DB-Wax,1531"
"Capillary,DB-Wax,1535"
