Tesi,ΔE,L*
MZFCUP1,ΔE,6.209988807
MZFCUP1,ΔE,2.707388631
MZFCUP1,ΔE,5.323170677
MZFCUP1,ΔE,9.320853182
MZFCUP1,ΔE,2.940236858
MZFCUP1,ΔE,2.079367039
MZFCUP1,ΔE,9.60274189
MZFCUP2,ΔE,2.070133365
MZFCUP2,ΔE,2.353807247
MZFCUP2,ΔE,5.55553962
MZFCUP2,ΔE,11.84776052
MZFCUP2,ΔE,1.40043541
MZFCUP2,ΔE,7.620183236
MZFCUP2,ΔE,1.718596913
MZFCUP3,ΔE,8.312997198
MZFCUP3,ΔE,8.322379398
MZFCUP3,ΔE,5.329952308
MZFCUP3,ΔE,2.587416982
MZFCUP3,ΔE,13.29871115
MZFCUP3,ΔE,11.04990154
MZFCUP3,ΔE,10.55146345
MZFVST,ΔE,8.588979873
MZFVST,ΔE,1.756259871
MZFVST,ΔE,11.96417817
MZFVST,ΔE,6.611992314
MZFVST,ΔE,8.407422574
MZFVST,ΔE,5.424252322
MZFVST,ΔE,21.5117142
MZFMTD,ΔE,5.113701367
MZFMTD,ΔE,3.589426369
MZFMTD,ΔE,5.11245994
MZFMTD,ΔE,3.125795957
MZFMTD,ΔE,4.557427953
MZFMTD,ΔE,5.771033217
MZFMTD,ΔE,3.52951983
MZFMNB,ΔE,1.357723135
MZFMNB,ΔE,11.42270189
MZFMNB,ΔE,1.062484266
MZFMNB,ΔE,3.105394957
MZFMNB,ΔE,12.24391616
MZFMNB,ΔE,3.586195075
MZFMNB,ΔE,3.498004573
MZFMSP,ΔE,5.463149092
MZFMSP,ΔE,2.024806677
MZFMSP,ΔE,1.210274921
MZFMSP,ΔE,10.45758146
MZFMSP,ΔE,5.885581566
MZFMSP,ΔE,3.552030282
MZFMSP,ΔE,3.166776967
MZFFUR,ΔE,6.258717918
MZFFUR,ΔE,8.118420707
MZFFUR,ΔE,4.108254189
MZFFUR,ΔE,13.57895542
MZFFUR,ΔE,8.198303343
MZFFUR,ΔE,15.64329744
MZFFUR,ΔE,4.948795073
MLPMNB,ΔE,9.699678591
MLPMNB,ΔE,4.8174648
MLPMNB,ΔE,2.430173782
MLPMNB,ΔE,1.711333441
MLPMNB,ΔE,2.067623907
MLPMNB,ΔE,4.941646649
MLPMNB,ΔE,5.814710076
MLPCUP3,ΔE,12.41298214
MLPCUP3,ΔE,3.437689628
MLPCUP3,ΔE,2.739729454
MLPCUP3,ΔE,6.273758568
MLPCUP3,ΔE,3.242233249
MLPCUP3,ΔE,3.363971376
MLPCUP3,ΔE,5.063538892
MLPMSP,ΔE,5.345799706
MLPMSP,ΔE,3.428554856
MLPMSP,ΔE,10.03106079
MLPMSP,ΔE,8.868997176
MLPMSP,ΔE,6.139249372
MLPMSP,ΔE,4.728302313
MLPMSP,ΔE,6.990165651
