MZFCUP1,36.38,27.4,42.25,35.15,44.02,61.48,61.99,68.95,b
MZFCUP1,36.24,27.31,42.28,35,43.89,61.33,61.88,69.03,b
MZFCUP1,36.13,27.19,42.23,34.94,43.97,61.33,61.83,69.1,b
MZFCUP1,48.39457398,47.9014584,44.30455226,40.36433256,44.94722263,46.42925059,43.8475619,51.78855997,a
MZFCUP1,48.2701142,44.47290595,43.90271161,40.09776053,44.74062029,46.086956,44.41166536,51.47917987,a
MZFCUP1,48.41965903,44.88131853,43.40855569,40.26260944,44.68839638,46.30082801,45.56151996,51.65696441,a
MZFCUP2,39.76,44.04,42.99,44.7,50.31,53.84,64.49,63.16,b
MZFCUP2,39.65,43.98,42.82,44.61,51.29,53.83,64.54,63.26,b
MZFCUP2,39.56,43.94,42.78,44.57,51.31,53.82,64.58,63.28,b
MZFCUP2,35.68803217,36.31336678,38.51772437,42.53180233,34.97921138,33.9870497,37.7327275,36.13021126,a
MZFCUP2,36.08422076,36.28483325,38.53872301,42.48620614,34.95717973,34.11167512,37.81190245,36.13595437,a
MZFCUP2,35.7502765,36.27721905,38.58765706,42.43444437,34.95717973,34.15307948,37.84422516,36.22957994,a
MZFCUP3,46.84,45.03,38.78,34.97,39.54,49.85,51.29,56,
MZFCUP3,46.82,45.05,38.75,34.95,39.52,49.78,51.19,56.51,
MZFCUP3,46.85,44.99,38.74,34.95,39.6,49.49,51.12,56.66,
MZFVST,44.41,34.35,39.11,33.38,37.35,63.39,46.39,61.58,
MZFVST,44.52,34.34,39.08,33.32,37.35,63.16,46.3,61.48,
MZFVST,44.42,34.34,39.02,33.21,37.31,63.01,46.19,61.43,
MZFMTD,43.16,33.62,38.06,38.13,50.07,46.2,55.57,59.6,
MZFMTD,43.12,33.53,37.99,38.13,49.81,46.16,55.73,59.55,
MZFMTD,44.2,33.5,37.95,38.1,49.74,46.16,55.69,59.51,
MZFMNB,32.86,37.46,32.17,30.23,31.51,37.08,46.34,44.75,
MZFMNB,32.8,37.36,32.18,30.29,31.4,36.87,46.29,44.61,
MZFMNB,32.77,37.29,32.16,30.25,31.33,36.83,46.34,44.67,
MZFMSP,36.93,38.45,38.08,39.17,47.21,35.88,62.6,61.03,
MZFMSP,36.89,38.42,38.06,39.1,47.2,35.81,62.53,61.02,
MZFMSP,36.85,38.37,38.04,39.1,47.21,35.8,62.55,61.06,
MZFFUR,51.32,48.03,45.48,47.64,32.68,35.54,43.89,55.78,
MZFFUR,51.35,47.98,45.45,47.61,32.62,35.48,43.86,55.57,
MZFFUR,51.37,47.93,45.42,47.6,32.58,35.44,43.87,55.53,
MLPMNB,45.04,46.25,51.06,54.55,56.47,57.66,57.11,63.72,
MLPMNB,45.06,46.26,51.12,54.46,56.48,57.66,57.23,63.91,
MLPMNB,45.07,46.27,51.19,54.4,56.54,57.65,57.19,64.06,
MLPCUP3,45.81,41.94,44.82,52.23,54.27,57.32,59.91,68.07,
MLPCUP3,45.76,41.91,44.94,52.14,54.72,57.33,59.86,68.21,
MLPCUP3,45.74,41.86,45.26,51.76,54.82,57.29,59.99,68.18,
MLPMSP,49.21,54.72,59.33,61.35,60.98,54.84,60.75,69.36,
MLPMSP,49.16,54.7,59.25,61.32,60.76,54.69,60.58,69.3,
MLPMSP,49.17,54.67,59.18,61.17,60.81,54.63,60.76,69.09,
