MZFCUP1,,,,,,,,
MZFCUP1,,,,,,,,
MZFCUP1,,,,,,,,
MZFCUP2,,,,,,,,
MZFCUP2,,,,,,,,
MZFCUP2,,,,,,,,
MZFCUP3,,,,,,,,
MZFCUP3,,,,,,,,
MZFCUP3,,,,,,,,
MZFVST,,,,,,,,
MZFVST,,,,,,,,
MZFVST,,,,,,,,
MZFMTD,,,,,,,,
MZFMTD,,,,,,,,
MZFMTD,,,,,,,,
MZFMNB,,,,,,,,
MZFMNB,,,,,,,,
MZFMNB,,,,,,,,
MZFMSP,,,,,,,,
MZFMSP,,,,,,,,
MZFMSP,,,,,,,,
MZFFUR,,,,,,,,
MZFFUR,,,,,,,,
MZFFUR,,,,,,,,
MLPMNB,13.98458383,13.45886734,17.61324067,21.51311795,23.95877026,25.0202203,27.46020352,32.87416261
MLPMNB,13.97578489,13.44265495,17.6099041,21.49608257,23.90796912,24.97899479,27.51116873,32.95954592
MLPMNB,13.9950324,13.46764274,17.65387232,21.46537981,23.92821927,24.96576507,27.49197408,32.97595057
MLPCUP3,12.36015612,8.120158612,12.37741827,18.08493998,23.90657394,22.94767311,27.31692682,37.60976398
MLPCUP3,12.34459718,8.116143385,12.36889974,18.04467884,23.99467362,22.90053,27.25346925,37.67399608
MLPCUP3,12.33736422,8.049914472,12.44086584,18.01138098,23.97417977,22.83394092,27.83114106,37.66190803
MLPMSP,18.72770806,25.59862776,26.29111983,26.35659566,26.82166725,25.85225035,29.65187079,36.35226298
MLPMSP,18.70541849,25.63425253,26.26803321,26.36295876,26.73202221,25.79703925,29.61654487,36.32595917
MLPMSP,18.71318782,25.6192014,26.22922933,26.25251893,26.72607818,25.79820605,29.74205283,36.23195315
