MZFCUP1,428.4977215,366.5357328,41.7880393,28.6,0.234,0.00271,1.72
MZFCUP1,449.3562602,386.5083688,43.3880393,28.5,0.238,0.00266,1.76
MZFCUP2,456.3907068,323.7062301,111.8934221,23.6,0.193,0.0663,1.68
MZFCUP2,423.8988574,307.8156409,115.0934221,24.01,0.197,0.06636,1.74
MZFCUP3,480.6683227,372.7657189,110.7283852,23.42,0.227,0.0151,3.49
MZFCUP3,444.8401768,362.5319367,115.3283852,22.81,0.231,0.0157,3.55
MZFFUR,367.0149078,281.6527422,187.829195,14.11,0.22,0.0152,2.58
MZFFUR,349.1243892,297.8178678,194.829195,14.57,0.224,0.0156,2.62
MZFMNB,431.6561536,391.6450444,80.56580129,23.5,0.234,0.0153,1.7
MZFMNB,459.5528079,412.7797065,85.36580129,23.62,0.238,0.0155,1.76
MZFMSP,474.1855239,393.3259288,115.4316242,24.73,0.252,0.0406,3.95
MZFMSP,486.5034107,398.0543002,119.2316242,25.13,0.246,0.0412,4.01
MZFMTD,379.8266891,310.0641366,88.89743116,24.39,0.219,0.00271,2.6
MZFMTD,380.6857878,318.7165384,93.09743116,24.79,0.225,0.00267,2.66
MZFVST,467.5417491,360.4152325,73.84396634,29.57,0.205,0.04057,1.69
MZFVST,466.283783,394.5982789,78.64396634,30.56,0.213,0.04119,1.77
MLPCUP3,438.0801014,420.2613899,88.90666073,20.28,0.268,0.044817,2.59
MLPCUP3,434.2545062,403.5020053,92.50666073,20.68,0.258,0.044823,2.67
MLPMNB,430.8499145,412.0904788,98.28498788,19.39,0.253,0.49908,3.48
MLPMNB,419.6085161,391.9413789,102.6849879,19.59,0.259,0.49916,3.58
MLPMSP,537.719047,512.3029831,69.82951815,22.34,0.335,0.603,1.68
MLPMSP,498.654668,485.8270286,72.42951815,22.74,0.339,0.599,1.78
